pl_name,pl_bmasse,pl_rade,pl_insol,pl_eqt,pl_orbeccen,pl_orbsmax,sy_pnum,sy_snum,st_spectype,st_teff,discoverymethod,en_habitable
GJ 1002 b,1.08,,0.67,230.9,,0.0457,2,1,M5.5 V,3024.0,Radial Velocity,True
GJ 357 d,6.1,,0.38,219.6,,0.204,3,1,M2.5 V,3505.0,Radial Velocity,True
Gliese 12 b,10.0,0.9,1.6,315.0,,0.067,1,1,M4 V,3253.0,Transit,True
Gliese 12 b,3.87,0.958,1.62,314.6,0.5,0.0668,1,1,M3.0 V,3296.0,Transit,True
HN Lib b,5.46,,0.503,234.4,0.079,0.1417,1,1,M4.0 V,3347.0,Radial Velocity,True
K2-3 d,2.2,1.458,1.44,305.2,0.091,0.2014,3,1,M V,3844.0,Transit,True
LHS 1140 b,5.6,1.73,0.43,226.0,0.043,0.0946,2,1,M4.5 V,3096.0,Transit,True
LHS 1140 b,6.65,1.43,0.46,230.0,0.29,0.0875,2,1,M4.5 V,3131.0,Transit,True
Proxima Cen b,1.27,,0.65,234.0,0.35,0.0485,1,3,M5.5 V,3050.0,Radial Velocity,True
Ross 128 b,1.4,,1.38,301.0,0.116,0.0496,1,1,M4,3192.0,Radial Velocity,True
TOI-1266 d,4.59,,1.3,297.0,0.12,0.15,3,1,M3 V,3618.0,Transit Timing Variations,True
TOI-2095 c,7.4,1.33,1.84,297.0,0.0,0.137,2,1,M2.5 V,3759.0,Transit,True
Wolf 1069 b,1.26,,0.652,250.1,,0.0672,1,1,M5.0 V,3158.0,Radial Velocity,True
